idCPacientes,email,telefono
100,víctormontoya@gmail.com,45216532
101,joségomez@gmail.com,44459532
102,juancayuela@gmail.com,43633663
103,ana maríasobrino@gmail.com,42121212
104,isabelfernanedez@gmail.com,47484848
105,rodolfobaeza@gmail.com,40344343
106,mirtadi nardo@gmail.com,49996936
107,estebantoledo@gmail.com,43464947
108,rauldel marmol@gmail.com,42003300
109,monicabrito@gmail.com,40999989
110,estefanialezama@gmail.com,42665588
111,ceciliarodriguez@gmail.com,41878787
112,melinaberge@gmail.com,43656565
113,darioaquili@gmail.com,44776677
114,josefinacalvi@gmail.com,44989838
115,teodorogambino@gmail.com,46784545
116,melisamassa@gmail.com,49393939
117,agustinacifre@gmail.com,40404040
118,gastonespacavento@gmail.com,42404349
119,juan cruzespindola@gmail.com,48787779
120,telmaramirez@gmail.com,40936382
121,rosariogonzalez@gmail.com,45103212
122,brendaboris@gmail.com,46009700
123,jorgetermopilas@gmail.com,40888888
124,gustavoplayadito@gmail.com,49998877
125,natanaelrosamonte@gmail.com,45555555
126,irmacruz de malta@gmail.com,43002020
127,yaninahelmans@gmail.com,43984572
128,diego armandobolsonaro@gmail.com,42720828
