idDoctor,nombre,apellido,FechaNacimiento,matricula,dni,idEspecialidad,idPacientes
11,cesar,Milstein,01-12-68,985623,16564587,1,101
12,gabriel,Levi,02-08-62,784512,12457869,2,103
13,marcela,Cohen,13-01-86,142536,17264815,3,105
14,monica,Benjamin,24-05-76,968574,15595995,4,107
15,esteban,Mizrachi,05-10-60,786512,11464679,9,109
16,andrea,Peretz,06-12-83,124532,18666666,10,111
17,susana,Biton,01-12-78,988765,17555555,13,113
18,rodolfo,Dohan,02-08-56,416385,16999966,16,115
19,julian,Abramov,13-01-82,912478,18897936,18,117
20,julieta,Friedman,24-05-90,791391,19247111,21,119
21,miguel,Azoulai,05-10-69,713928,16773355,22,121
22,ricardo,Malka,06-12-71,783966,12392817,24,123
23,luis,Katz,01-12-75,459876,23316497,26,125
24,Dario,Klein,02-08-58,124466,8567823,27,127
